Class Name,Class Code,Class Time,Student Age,Tuition with early bird discount,Regular Tuition,Material Fee,Textbook Fee,Class Size,Category,Class Start and End Date
Adult Badminton Lesson (成人羽毛球训练一班),ABC-101,09:00 AM ~ 09:50 AM,18+,435,465,$10,,8,成人,08/17/2025 - 05/17/2025
Adult Chinese Dance (成人舞蹈),AD-101,09:00 AM ~ 09:50 AM,18+,435,465,,,15,成人,08/17/2025 - 05/17/2025
Adult Club Badminton (成人娱乐羽毛球一班),ABD-101,09:00 AM ~ 09:50 AM,18+,175,205,$10,,10,成人,08/17/2025 - 05/17/2025
Children Badminton Beginner (少儿羽毛球初级班),BD-101,09:00 AM ~ 09:50 AM,6+,465,495,$10,,16,儿艺,08/17/2025 - 05/17/2025
Competitive Math I (竞赛数学 I),CM-101,09:00 AM ~ 09:50 AM,7 to 8,480,510,$20,,18,数学,08/17/2025 - 05/17/2025
Drawing II (绘画 II 级),DW-201,09:00 AM ~ 09:50 AM,9 to 12,450,480,$5,,15,儿艺,08/17/2025 - 05/17/2025
Lego Robotics Programming Beginner (乐高机器人入门一班),LR-101,09:00 AM ~ 09:50 AM,8 to 11,595,635,$10,,20,电脑,08/17/2025 - 05/17/2025
Math Olympiads III (奥数 III),MO-301,09:00 AM ~ 09:50 AM,12 to 14,505,535,$20,,18,数学,08/17/2025 - 05/17/2025
Photography I (摄影艺术 I),PG-101,09:00 AM ~ 09:50 AM,15+,410,440,,,20,成人,08/17/2025 - 05/17/2025
Tai Chi 1 Hr (太极 1小时课),TC-201,09:00 AM ~ 09:50 AM,18+,225,255,,,20,成人,08/17/2025 - 05/17/2025
Tennis Intermediate (网球中级班),TN-201,09:00 AM ~ 09:50 AM,7+,475,505,$5,,16,儿艺,08/17/2025 - 05/17/2025
Zumba Toning Exercise (尊巴塑身舞),ZT-101,09:00 AM ~ 09:50 AM,18+,370,400,,,30,成人,08/17/2025 - 05/17/2025
Adult Art of Singing Class (成人声乐艺术学习一班),AS-101,09:00 AM ~ 10:50 AM,18+,870,900,,,10,成人,08/17/2025 - 05/17/2025
Adult Pop Singing (成人流行音乐歌唱班),APS-101,09:00 AM ~ 10:50 AM,18+,820,850,,,20,成人,08/17/2025 - 05/17/2025
Chinese 1st Grade (中文班 1年级1班),C-101,09:00 AM ~ 10:50 AM,6+,665,695,,10,20,中文,08/17/2025 - 05/17/2025
Chinese 3rd Grade (中文班 3年级1班),C-301,09:00 AM ~ 10:50 AM,8+,665,695,,10,20,中文,08/17/2025 - 05/17/2025
Chinese 4th Grade (中文班 4年级1班),C-401,09:00 AM ~ 10:50 AM,9+,665,695,,10,20,中文,08/17/2025 - 05/17/2025
Chinese 5th Grade (中文班 5年级1班),C-501,09:00 AM ~ 10:50 AM,10+,665,695,,10,20,中文,08/17/2025 - 05/17/2025
Chinese 6th Grade (中文班 6年级1班),C-601,09:00 AM ~ 10:50 AM,11+,665,695,,10,20,中文,08/17/2025 - 05/17/2025
Chinese 8th Grade (中文班 8年级1班),C-801,09:00 AM ~ 10:50 AM,13+,665,695,,10,20,中文,08/17/2025 - 05/17/2025
Chinese AP Prep (中文 AP 备考),CAP-201,09:00 AM ~ 10:50 AM,14+,850,890,$20,,20,中文,08/17/2025 - 05/17/2025
Chinese AP Prep Textbook (中文 AP 备考教材),XCAP-201,09:00 AM ~ 10:50 AM,,125,125,,,20,中文,08/17/2025 - 05/17/2025
Chinese as a Second Language 1 (少儿汉语班 1级),CSL-101,09:00 AM ~ 10:50 AM,5~9,665,695,$5,,20,中文,08/17/2025 - 05/17/2025
Chinese as a Second Language 4 (少儿汉语班 4级),CSL-401,09:00 AM ~ 10:50 AM,8~12,665,695,$5,,20,中文,08/17/2025 - 05/17/2025
Chinese as a Second Language 5 (少儿汉语班 5级),CSL-501,09:00 AM ~ 10:50 AM,8~12,665,695,$5,,20,中文,08/17/2025 - 05/17/2025
Chinese Kindergarten (中文班 K),K-101,09:00 AM ~ 10:50 AM,5+,695,725,,30,20,中文,08/17/2025 - 05/17/2025
Stanford Chinese 1 (斯坦福中文马立平教材1年级),SC-101,09:00 AM ~ 10:50 AM,6+,665,695,,,20,中文,08/17/2025 - 05/17/2025
Stanford Chinese 2 (斯坦福中文马立平教材2年级),SC-201,09:00 AM ~ 10:50 AM,7+,665,695,,,20,中文,08/17/2025 - 05/17/2025
Stanford Chinese 5 (斯坦福中文马立平教材5年级),SC-501,09:00 AM ~ 10:50 AM,10+,665,695,,,20,中文,08/17/2025 - 05/17/2025
Stanford Chinese 7 (斯坦福中文马立平教材7年级),SC-701,09:00 AM ~ 10:50 AM,12+,665,695,,,20,中文,08/17/2025 - 05/17/2025
Prep Course for High School Chinese III (高中学分班预备班),CHSCP-101,09:00 AM ~ 11:50 AM,13+,1050,1100,,,20,中文,08/17/2025 - 05/17/2025
Prep Course for High School Chinese III Textbook (高中学分班预备班教材),XCHSCP-101,,,,,,150,,中文,08/17/2025 - 05/17/2025
High School Chinese AP (高中学分班 AP),APC-101,09:00 AM ~ 12:50 PM,13,1530,1580,,,20,中文,08/17/2025 - 05/17/2025
High School Chinese AP Textbook (高中学分班 AP 教材),XAPC-101,,,,,,125,20,中文,08/17/2025 - 05/17/2025
High School Chinese III (高中学分班 III),CHS-301,09:00 AM ~ 12:50 PM,13+,1340,1390,,,20,中文,08/17/2025 - 05/17/2025
High School Chinese III Textbook (高中学分班 III 教材),XCHS-301,,,,,,150,,中文,08/17/2025 - 05/17/2025
High School Chinese IV (高中学分班 IV),CHS-401,09:00 AM ~ 12:50 PM,14+,1340,1390,,,20,中文,08/17/2025 - 05/17/2025
High School Chinese IV Textbook (高中学分班 IV 教材),XCHS-401,,,,,,150,,中文,08/17/2025 - 05/17/2025
ACSL Elementary Division and Python Programming,ACSL-101,10:00 AM ~ 10:50 AM,8-11,595,625,,,15,电脑,08/17/2025 - 05/17/2025
Adult Badminton Lesson (成人羽毛球训练二班),ABC-201,10:00 AM ~ 10:50 AM,18+,435,465,$10,,8,成人,08/17/2025 - 05/17/2025
Adult Chinese Folk Dance Performance (成人形体民族舞表演班),AFP-101,10:00 AM ~ 10:50 AM,18+,440,470,,,16,成人,08/17/2025 - 05/17/2025
Adult Club Badminton (成人娱乐羽毛球二班),ABD-102,10:00 AM ~ 10:50 AM,18+,175,205,$10,,12,成人,08/17/2025 - 05/17/2025
Adult Yoga (瑜伽),Yoga-102,10:00 AM ~ 10:50 AM,18+,365,395,,,16,成人,08/17/2025 - 05/17/2025
AMC 8 (美国数学竞赛 8,61课时),AMC8-101,10:00 AM ~ 10:50 AM,11 to 14,720,750,$20,,18,数学,08/17/2025 - 05/17/2025
